cloud_account_id,cloud_device_id,is_indoor,latitude,longitude,mcpm1x0,ncpm1x0,rh,temperature,timestamp,tpsize
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,41,62,4.5,2022-12-02T15:00:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,36,56,5.8,2022-12-02T15:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,29,50,6.9,2022-12-02T15:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,28,47,7.7,2022-12-02T15:45:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,27,45,8.3,2022-12-02T16:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,24,41,9.1,2022-12-02T16:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,22,38,10.0,2022-12-02T16:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,20,35,10.9,2022-12-02T16:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,19,32,12.7,2022-12-02T17:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,17,27,15.5,2022-12-02T17:15:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,17,25,16.6,2022-12-02T17:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,14,22,20.0,2022-12-02T17:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,15,19,22.5,2022-12-02T18:00:57Z,0.48
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,21,18,23.5,2022-12-02T18:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,18,18,23.7,2022-12-02T18:30:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,19,19,22.5,2022-12-02T18:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,16,21,20.5,2022-12-02T19:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,17,23,19.4,2022-12-02T19:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,16,24,19.7,2022-12-02T19:30:57Z,0.48
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,17,23,20.8,2022-12-02T19:45:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,23,21,22.7,2022-12-02T20:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,21,21,23.5,2022-12-02T20:15:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,19,23,22.7,2022-12-02T20:30:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,20,24,23.2,2022-12-02T20:45:57Z,0.48
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,21,27,20.7,2022-12-02T21:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,22,31,18.7,2022-12-02T21:15:57Z,0.54
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,17,35,16.6,2022-12-02T21:30:57Z,0.49
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,33,38,15.0,2022-12-02T21:45:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,62,41,13.8,2022-12-02T22:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,36,43,13.2,2022-12-02T22:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,50,45,12.9,2022-12-02T22:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,26,46,12.9,2022-12-02T22:45:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,25,46,13.2,2022-12-02T23:00:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,23,47,13.1,2022-12-02T23:15:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,2,24,48,12.7,2022-12-02T23:30:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,27,50,12.4,2022-12-02T23:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,36,51,12.3,2022-12-03T00:00:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,33,53,12.1,2022-12-03T00:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,33,55,11.7,2022-12-03T00:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,47,56,11.4,2022-12-03T00:45:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,37,57,11.5,2022-12-03T01:00:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,36,57,11.6,2022-12-03T01:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,40,58,11.3,2022-12-03T01:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,33,58,11.2,2022-12-03T01:45:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,39,60,11.0,2022-12-03T02:00:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,3,34,61,10.7,2022-12-03T02:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,38,62,10.5,2022-12-03T02:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,38,63,10.4,2022-12-03T02:45:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,36,63,10.7,2022-12-03T03:00:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,43,61,11.4,2022-12-03T03:15:57Z,0.53
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,44,60,11.9,2022-12-03T03:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,44,59,12.2,2022-12-03T03:45:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,45,58,12.3,2022-12-03T04:00:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,4,43,58,12.4,2022-12-03T04:15:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,47,58,12.5,2022-12-03T04:30:57Z,0.5
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,54,58,12.6,2022-12-03T04:45:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,6,59,59,12.6,2022-12-03T05:00:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,53,59,12.6,2022-12-03T05:15:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,52,59,12.5,2022-12-03T05:30:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,51,60,12.5,2022-12-03T05:45:57Z,0.51
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,52,62,12.2,2022-12-03T06:00:57Z,0.52
c4257c0qi9clu8nikfgg,c50fv8u7kn8vcc9cd6cg,False,36.0036,-78.93817,5,54,64,12.0,2022-12-03T06:15:57Z,0.53
