serial,mcpm10,mcpm10_aqi,mcpm1x0,mcpm2x5,mcpm2x5_aqi,mcpm4x0,ncpm0x5,ncpm10,ncpm1x0,ncpm2x5,ncpm4x0,rh,temperature,tpsize,timestamp,cloud_account_id,cloud_device_id,is_indoor,is_public,latitude,longitude
81432039072,3.25,3.25,3.0,3.25,14.0,3.25,26.5,31.5,31.5,31.5,31.5,51.0,7.0,0.5,2022-12-02 15:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,2.25,2.25,2.25,2.25,9.25,2.25,19.25,22.5,22.5,22.5,22.5,37.75,10.45,0.5,2022-12-02 16:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,2.0,2.0,2.0,2.0,8.0,2.0,14.0,16.5,16.5,16.5,16.5,25.25,17.75,0.5,2022-12-02 17:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,2.0,2.0,2.0,2.0,8.0,2.0,16.0,19.0,19.0,19.0,19.0,20.5,22.12,0.5,2022-12-02 18:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,2.25,2.25,2.0,2.25,9.25,2.25,15.25,18.25,17.75,18.25,18.25,24.0,20.08,0.49,2022-12-02 19:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,2.25,2.25,2.0,2.25,9.25,2.25,17.0,20.0,20.0,20.0,20.0,24.25,22.33,0.49,2022-12-02 20:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,3.75,3.5,3.75,3.75,15.5,3.75,29.5,34.75,34.5,34.75,34.75,35.5,16.68,0.5,2022-12-02 21:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,4.0,4.0,3.75,4.0,17.0,4.0,29.75,35.25,35.25,35.25,35.25,44.75,13.3,0.5,2022-12-02 22:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,3.0,3.0,2.75,3.0,12.75,3.0,22.5,26.5,26.5,26.5,26.5,48.75,12.85,0.49,2022-12-02 23:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,4.25,4.25,3.75,4.25,18.0,4.25,32.75,38.5,38.5,38.5,38.5,54.5,11.88,0.51,2022-12-03 00:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
81432039072,4.0,4.0,3.75,4.0,17.0,4.0,31.75,37.25,37.25,37.25,37.25,57.75,11.52,0.5,2022-12-03 01:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232
