serial,mcpm10,mcpm10_aqi,mcpm1x0,mcpm2x5,mcpm2x5_aqi,mcpm4x0,ncpm0x5,ncpm10,ncpm1x0,ncpm2x5,ncpm4x0,rh,temperature,tpsize,timestamp,cloud_account_id,cloud_device_id,is_indoor,is_public,latitude,longitude,time_delta
81432039072,4.25,4.25,4.0,4.25,18.0,4.25,34.5,40.75,40.25,40.75,40.75,52.25,13.55,0.53,2022-12-11 15:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,4.0,4.0,3.5,4.0,17.0,4.0,29.25,34.25,34.0,34.25,34.25,46.75,15.82,0.52,2022-12-11 16:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,4.0,4.0,4.0,4.0,17.0,4.0,30.25,36.0,36.0,36.0,36.0,44.75,16.85,0.55,2022-12-11 17:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,5.0,5.0,4.75,5.0,21.0,5.0,37.0,43.75,43.5,43.5,43.75,43.25,17.98,0.56,2022-12-11 18:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,5.75,5.75,5.25,5.75,24.0,5.75,43.75,51.25,51.0,51.25,51.25,46.25,16.8,0.57,2022-12-11 19:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,5.75,5.75,5.5,5.75,24.0,5.75,44.5,52.75,52.25,52.75,52.75,52.25,14.73,0.58,2022-12-11 20:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,4.75,4.75,4.0,4.75,20.0,4.75,35.25,42.0,41.5,42.0,42.0,55.5,13.58,0.55,2022-12-11 21:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,5.0,5.0,4.0,5.0,21.0,5.0,36.75,43.25,42.75,43.25,43.25,59.25,12.65,0.53,2022-12-11 22:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,5.0,5.0,5.0,5.0,21.0,5.0,40.75,48.25,47.75,48.25,48.25,59.75,12.45,0.53,2022-12-11 23:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,7.5,6.75,7.25,7.5,31.25,7.5,60.25,71.0,70.5,71.0,71.0,63.5,11.92,0.54,2022-12-12 00:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,7.5,6.5,7.0,7.5,31.0,7.5,59.5,70.25,69.5,70.0,70.25,64.75,11.88,0.53,2022-12-12 01:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,8.0,7.0,7.75,8.0,33.0,8.0,63.25,75.0,74.5,75.0,75.0,65.0,11.58,0.54,2022-12-12 02:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,8.0,7.0,7.0,8.0,33.0,8.0,62.0,73.25,72.75,73.25,73.25,67.75,10.6,0.54,2022-12-12 03:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
81432039072,8.25,7.25,8.0,8.25,34.25,8.25,69.0,81.5,81.0,81.0,81.5,75.75,8.85,0.55,2022-12-12 04:00:00,c4257c0qi9clu8nikfgg,c5e99utomcjt2d3sngc0,False,True,36.001427,-78.938232,15.0
